studyID,studyUUID,studyName,siteID,custodianID,custodianName,pipelineID,data,standardFormat
SWF-1,7f380426-5a0c-4342-ac6a-cae5e021e8d3,NA,SWF,RUGBE,"University of Groningen, BirdEyes",NA,FALSE,NA
SLL-1,d4931128-7a4e-406d-8a64-01622e3d4a47,NA,SLL,SIRC,South Iceland Research Centre,NA,FALSE,NA
ROM-1,6bf7557d-ef8c-4fed-a824-f7c690c0dc03,NA,ROM,TSC,University of Tuscia,NA,FALSE,NA
APN-1,216e3f89-db04-4dc3-ac6d-4ac7452af6b0,NA,APN,FPIAO,"FitzPatrick Institute of African Ornithology, University of Cape Town",NA,FALSE,NA
KRR-1,00cfd36a-da10-41a1-ab15-cd0ec0c46e63,NA,KRR,UWA,University of Western Australia,NA,FALSE,NA
GVS-1,82755c8a-0629-4358-97d7-41850aff669b,NA,GVS,GVSU,Grand Valley State University,NA,FALSE,NA
LES-1,b25a69a8-be3b-4a88-a64c-9ce6aad144e2,NA,LES,PULS,Poznań University of Life Sciences,NA,FALSE,NA
BFN-1,5c227b06-1986-49f1-a521-dfc1735782e0,NA,BFN,CIBIO,CIBIO,NA,FALSE,NA
TAH-1,fd0b9076-5fde-4a8c-9dbc-91ceab13b270,NA,TAH,TEGU,"Terrestrial Ecology, Ghent University",NA,FALSE,NA
KUJ-1,34d63995-0e96-4400-827b-268c46d691e3,NA,KUJ,UGU,Uekusa Gakuen University,NA,FALSE,NA
UTQ-1,b77edd79-c42a-4f93-bbb5-2ee2374e9dff,NA,UTQ,USFWS,U.S. Fish and Wildlife Service,NA,FALSE,NA
RWA-1,fe582ef3-ee19-4788-ba00-8fc037c4f885,NA,RWA,IPARAS,"Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences",NA,FALSE,NA
RWB-1,6840a87c-90ef-41ac-a2ee-28ad570a6858,NA,RWB,IPARAS,"Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences",NA,FALSE,NA
RWC-1,dbb83654-40c4-4b1d-95ba-2a293b8fda73,NA,RWC,IPARAS,"Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences",NA,FALSE,NA
RWD-1,4fb303b0-64db-4309-9bb1-f6614080569a,NA,RWD,IPARAS,"Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences",NA,FALSE,NA
RSW-1,93633275-4d0d-4497-ba85-65a91ede559f,NA,RSW,IPARAS,"Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences",NA,FALSE,NA
RNW-1,c8d2db7b-3ac6-4601-9bdd-829887b132fd,NA,RNW,IPARAS,"Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences",NA,FALSE,NA
SQB-1,a317b82d-7b2a-4cf9-b055-8b76c9cde117,NA,SQB,CREUS,Centre de Recherche en Écologie de l'Université de Sherbrooke,NA,FALSE,NA
