Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC14_1
,13080,Phylloscopus sibilatrix,02.06.08,,Phylloscopus sibilatrix,25464
,13090,Phylloscopus neglectus,02.06.08,,Phylloscopus neglectus,25509
,13100,Phylloscopus sindianus,02.06.08,,Phylloscopus sindianus,25516
,13110,Phylloscopus collybita,02.06.08,,Phylloscopus collybita,25523
,13111,Phylloscopus collybita collybita,02.06.08,,Phylloscopus collybita collybita,25525
,13112,Obsolete code,02.06.08,Duplicated species; use 13113,Phylloscopus collybita fulvescens,NA
,13113,Phylloscopus collybita tristis,02.06.08,,Phylloscopus collybita tristis,25530
,13114,Phylloscopus collybita abietinus,02.06.08,,Phylloscopus collybita abietinus,25524
,13115,Phylloscopus ibericus,02.06.08,,Phylloscopus collybita ibericus,25531
,13116,Obsolete code,02.06.08,Is Phylloscopus ibericus ? use 13115,Phylloscopus collybita brehmii,NA
,13117,Phylloscopus canariensis,02.06.08,,Phylloscopus collybita canariensis,25520
,13120,Phylloscopus trochilus,02.06.08,,Phylloscopus trochilus,25512
,13121,Phylloscopus trochilus trochilus,02.06.08,,Phylloscopus trochilus trochilus,25513
,13122,Phylloscopus trochilus acredula,02.06.08,,Phylloscopus trochilus acredula,25514
,13123,Phylloscopus trochilus yakutensis,02.06.08,,Phylloscopus trochilus yakutensis,25515
,13129,Phylloscopus sp.,02.06.08,,Phylloscopus sp.,NA
,13130,Corthylio calendula,30.07.21,,Regulus calendula,28566
,13140,Regulus regulus,02.06.08,,Regulus regulus,28585
,13141,Regulus regulus regulus,02.06.08,,Regulus regulus regulus,28586
,13142,Regulus regulus teneriffae,02.06.08,,Regulus regulus teneriffae,28590
,13143,Regulus regulus inermis,18.11.15,,Regulus regulus inermis,28594
,13150,Regulus ignicapilla,02.06.08,,Regulus ignicapillus,28570
,13151,Regulus ignicapillus ignicapillus,02.06.08,,Regulus ignicapillus ignicapillus,NA
,13152,Obsolete code,02.06.08,Is regulus r. teneriffae ? use 13142,Regulus ignicapillus teneriffae,NA
,13153,Regulus ignicapillus balearicus,02.06.08,,Regulus ignicapillus balearicus,NA
,13154,Regulus madeirensis,19.03.12,Madeira Firecrest,Regulus madeirensis,28575
,13160,Regulus satrapa,02.06.08,,Regulus satrapa,28577
,13169,Regulus sp.,02.06.08,,Regulus sp.,NA
,13170,Leptopoecile sophiae,02.06.08,,Leptopoecile sophiae,25397
,13180,Leptopoecile elegans,02.06.08,,Leptopoecile elegans,25402
,13190,Polioptila melanura,02.06.08,,Polioptila melanura,29211
,13200,Polioptila nigriceps,02.06.08,,Polioptila nigriceps,29220
,13210,Polioptila caerulea,02.06.08,,Polioptila caerulea,29199
,13220,Niltava grandis,02.06.08,,Niltava grandis,30827
,13230,Niltava sundara,02.06.08,,Niltava sundara,30815
,13240,Niltava davidi,02.06.08,,Niltava davidi,30814
,13250,Niltava vivida,02.06.08,,Cyornis vivida,30822
,13260,Cyornis rubeculoides,02.06.08,,Cyornis rubeculoides,30879
,13270,Cyanoptila cyanomelana,02.06.08,,Muscicapa cyanomelana,30832
,13280,Eumyias thalassinus,02.06.08,,Muscicapa thalassina,30843
,13290,Muscicapa ferruginea,02.06.08,,Muscicapa rufilata,30754
,13300,Muscicapa sibirica,02.06.08,,Muscicapa sibirica,30749
,13310,Muscicapa griseisticta,02.06.08,,Muscicapa griseisticta,30748
,13320,Ficedula ruficauda,02.06.08,,Muscicapa ruficauda,31333
,13330,Muscicapa muttui,02.06.08,,Muscicapa muttui,30755
,13340,Muscicapa randi,02.06.08,,Muscicapa latirostris,30756
,13350,Muscicapa striata,02.06.08,,Muscicapa striata,30788
,13351,Muscicapa striata striata,02.06.08,,Muscicapa striata striata,30789
,13352,Muscicapa striata balearica,02.06.08,,Muscicapa striata balearica,NA
,13353,Muscicapa striata tyrrenica,02.06.08,,Muscicapa striata tyrrenica,NA
,13360,Muscicapa gambagae,02.06.08,,Muscicapa gambagae,30797
,13369,Muscicapidae,02.06.08,,Muscicapa sp.,NA
,13370,Ficedula sapphira,02.06.08,,Ficedula sapphira,31317
,13380,Ficedula tricolor,02.06.08,,Ficedula tricolor,31289
,13390,Ficedula superciliaris,02.06.08,,Ficedula superciliaris,31321
,13400,Ficedula erithacus,02.06.08,,Ficedula hodgsonii,31310
,13410,Ficedula hyperythra,02.06.08,,Ficedula hyperythra,31294
,13420,Ficedula strophiata,02.06.08,,Ficedula strophiata,31314
,13430,Ficedula parva,02.06.08,,Ficedula parva,31335
,13431,Ficedula parva parva,02.06.08,,Ficedula parva parva,NA
,13432,Ficedula albicilla,02.06.08,,Ficedula parva albicilla,31337
,13440,Ficedula mugimaki,02.06.08,,Ficedula mugimaki,31309
,13450,Ficedula zanthopygia,02.06.08,,Ficedula zanthopygia,31280
,13460,Ficedula narcissina,02.06.08,,Ficedula narcissina,31283
,13470,Ficedula semitorquata,02.06.08,,Ficedula semitorquata,31339
,13480,Ficedula albicollis,02.06.08,,Ficedula albicollis,31347
,13481,Ficedula albicollis albicollis,02.06.08,,Ficedula albicollis albicollis,NA
,13482,Obsolete code,02.06.08,Duplicated species; use 13470,Ficedula albicollis semitorquata,NA
,13490,Ficedula hypoleuca,02.06.08,,Ficedula hypoleuca,31343
,13491,Ficedula hypoleuca hypoleuca,02.06.08,,Ficedula hypoleuca hypoleuca,31344
,13492,Ficedula hypoleuca iberiae,02.06.08,,Ficedula hypoleuca ibericus,31345
,13493,Ficedula hypoleuca speculigera,12.11.18,,Ficedula hypoleuca speculigera,NA
,13499,Ficedula sp.,07.07.14,,Ficedula sp.,NA
,13500,Culicicapa ceylonensis,02.06.08,,Culicicapa ceylonensis,23363
,13510,Chelidorhynx hypoxanthus,02.06.08,,Rhipidura hypoxantha,23358
,13520,Rhipidura albicollis,02.06.08,,Rhipidura albicollis,21787
,13530,Terpsiphone viridis,02.06.08,,Terpsiphone viridis,22049
,13540,Terpsiphone paradisi,02.06.08,,Terpsiphone paradisi,22061
,13550,Terpsiphone atrocaudata,02.06.08,,Terpsiphone atrocaudata,22081
,13560,Erythrogenys erythrogenys,02.06.08,,Pomatorhinus erythrogenys,27716
,13570,Pomatorhinus ruficollis,02.06.08,,Pomatorhinus ruficollis,27664
,13580,Pnoepyga albiventer,02.06.08,,Pnoepyga albiventer,25160
